"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"f:\毕设-快递系统\src\components\client\EditUserInfoButton.tsx", "TypeScript JSX", 45, 0, 0, 45
"f:\毕设-快递系统\src\components\client\IndexCard.tsx", "TypeScript JSX", 15, 0, 0, 15
"f:\毕设-快递系统\src\components\client\LoginForm.tsx", "TypeScript JSX", 37, 0, 0, 37
"f:\毕设-快递系统\src\components\client\ProfileCard.tsx", "TypeScript JSX", 2, 0, 0, 2
"f:\毕设-快递系统\src\components\client\RegisterForm.tsx", "TypeScript JSX", 60, 0, 0, 60
"f:\毕设-快递系统\src\components\client\SeekBackForm.tsx", "TypeScript JSX", 45, 0, 0, 45
"f:\毕设-快递系统\src\components\client\SendOrders.tsx", "TypeScript JSX", 52, 0, 0, 52
"Total", "-", 256, 0, 0, 256
